ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1643092743565496,Marathi,Marathi,agree,false
1644301336843782,Marathi,Marathi,agree,false
1645212966784073,Tamil,Tamil,agree,false
1645285983333298,Marathi,Marathi,agree,false
1645379259937138,Kannada,Kannada,agree,false
1646539509973802,Tamil,Tamil,agree,false
1646689376349126,Tamil,Tamil,agree,false
1647227479627567,English,Hindi,disagree,true
1648550166387923,Malayalam,Malayalam,agree,false
1648748513083306,Tamil,Tamil,agree,false
1648971856222147,Kannada,Kannada,agree,false
1649114436359491,English,Hindi,disagree,true
1649433082992165,Kannada,Kannada,agree,false
1649622126228565,Malayalam,Malayalam,agree,false
1650055542580076,Gujarati,Gujarati,agree,false
1650079819366116,Marathi,Marathi,agree,false
1650201839616756,Tamil,Tamil,agree,false
1650289427097173,Telugu,Telugu,agree,false
1650698336116329,English,Hindi,disagree,true
1651364626065468,Malayalam,Malayalam,agree,false
1652269289164044,Marathi,Marathi,agree,false
1652373855979847,English,Hindi,disagree,true
1652476355899155,Marathi,Marathi,agree,false
1652974085821089,Marathi,Marathi,agree,false
1653137739166143,Tamil,Tamil,agree,false
1653184542633277,Telugu,Telugu,agree,false
1653210032495777,Malayalam,Malayalam,agree,false
1653266972572375,Tamil,Tamil,agree,false
1653722725817987,Malayalam,Malayalam,agree,false
1654263695604399,English,Hindi,disagree,true
1654655492231126,Tamil,Tamil,agree,false
1655623609191725,Tamil,Tamil,agree,false
1656028475602497,English,Hindi,disagree,true
1656851008918287,English,Hindi,disagree,true
1657056882105372,English,Hindi,disagree,true
1657600135463203,Gujarati,Gujarati,agree,false
1657979605480527,Gujarati,Gujarati,agree,false
1658711432116969,Kannada,Kannada,agree,false
1659068365351673,Bengali,Bengali,agree,false
1659230525388915,Telugu,Telugu,agree,false
1660021821919357,Tamil,Tamil,agree,false
1660631924974339,Marathi,Marathi,agree,false
1660703588257619,Malayalam,Malayalam,agree,false
1660858375135743,English,Hindi,disagree,true
1661161988339623,Tamil,Tamil,agree,false
1661688855146161,English,Hindi,disagree,true
1662011885142984,Kannada,Kannada,agree,false
1662665314680083,Telugu,Telugu,agree,false
1665387897930682,Marathi,Marathi,agree,false
1665607881389336,English,Hindi,disagree,true
1665952551144851,Telugu,Telugu,agree,false
1665988394548609,Gujarati,Gujarati,agree,false
1666186587861287,Telugu,Telugu,agree,false
1666367364780907,English,Hindi,disagree,true
1666686724680685,Marathi,Marathi,agree,false
1666736444644442,English,Hindi,disagree,true
1667844751047305,Kannada,Kannada,agree,false
1668182810858464,Gujarati,Gujarati,agree,false
1668250954361069,Malayalam,Malayalam,agree,false
1668487264579198,Gujarati,Gujarati,agree,false
1669002574241061,Bengali,Bengali,agree,false
